현금흐름표,장기매도가능금융자산의 처분,dart_ProceedsFromSalesOfNonCurrentAvailableForSaleFinancialAssets
현금흐름표,장기매도가능금융자산의 취득,dart_PurchaseOfNonCurrentAvailableForSaleFinancialAssets
현금흐름표,기타포괄손익-공정가치금융자산의 처분,-표준계정코드 미사용-
현금흐름표,기타포괄손익-공정가치금융자산의 취득,-표준계정코드 미사용-
현금흐름표,당기손익-공정가치금융자산의 처분,-표준계정코드 미사용-
현금흐름표,당기손익-공정가치금융자산의 취득,-표준계정코드 미사용-
현금흐름표,종속기업, 관계기업 및 공동기업 투자의 처분,-표준계정코드 미사용-
현금흐름표,종속기업, 관계기업 및 공동기업 투자의 취득,-표준계정코드 미사용-
현금흐름표,유형자산의 처분,ifrs_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities
현금흐름표,유형자산의 취득,ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities
현금흐름표,무형자산의 처분,ifrs_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities
현금흐름표,무형자산의 취득,ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities
현금흐름표,현금의 기타유출입,-표준계정코드 미사용-
현금흐름표,재무활동 현금흐름,ifrs_CashFlowsFromUsedInFinancingActivities
현금흐름표,단기차입금의 순증가(감소),-표준계정코드 미사용-
현금흐름표,자기주식의 취득,dart_AcquisitionOfTreasuryShares
현금흐름표,사채 및 장기차입금의 상환,dart_RepaymentsOfBonds
현금흐름표,배당금 지급,ifrs_DividendsPaidClassifiedAsFinancingActivities
현금흐름표,외화환산으로 인한 현금의 변동,ifrs_EffectOfExchangeRateChangesOnCashAndCashEquivalents
현금흐름표,현금 및 현금성자산의 증가(감소),ifrs_IncreaseDecreaseInCashAndCashEquivalents
현금흐름표,기초 현금 및 현금성자산,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf
현금흐름표,기말 현금 및 현금성자산,dart_CashAndCashEquivalentsAtEndOfPeriodCf
자본변동표,기초자본,dart_EquityAtBeginningOfPeriod
자본변동표,기초자본,dart_EquityAtBeginningOfPeriod
자본변동표,기초자본,dart_EquityAtBeginningOfPeriod
자본변동표,기초자본,dart_EquityAtBeginningOfPeriod
자본변동표,기초자본,dart_EquityAtBeginningOfPeriod
자본변동표,기초자본,dart_EquityAtBeginningOfPeriod
자본변동표,회계정책변경누적효과,ifrs_IncreaseDecreaseThroughChangesInAccountingPolicies
자본변동표,회계정책변경누적효과,ifrs_IncreaseDecreaseThroughChangesInAccountingPolicies
자본변동표,수정후 기초자본,-표준계정코드 미사용-
자본변동표,수정후 기초자본,-표준계정코드 미사용-
자본변동표,수정후 기초자본,-표준계정코드 미사용-
자본변동표,수정후 기초자본,-표준계정코드 미사용-
자본변동표,수정후 기초자본,-표준계정코드 미사용-
자본변동표,수정후 기초자본,-표준계정코드 미사용-
자본변동표,당기순이익(손실),-표준계정코드 미사용-
자본변동표,당기순이익(손실),-표준계정코드 미사용-
자본변동표,매도가능금융자산평가손익,-표준계정코드 미사용-
자본변동표,매도가능금융자산평가손익,-표준계정코드 미사용-
자본변동표,매도가능금융자산평가손익,-표준계정코드 미사용-
자본변동표,기타포괄손익-공정가치금융자산평가손익,-표준계정코드 미사용-
자본변동표,기타포괄손익-공정가치금융자산평가손익,-표준계정코드 미사용-
자본변동표,기타포괄손익-공정가치금융자산평가손익,-표준계정코드 미사용-
자본변동표,순확정급여자산 재측정요소,-표준계정코드 미사용-
자본변동표,순확정급여자산 재측정요소,-표준계정코드 미사용-
자본변동표,배당,-표준계정코드 미사용-
자본변동표,배당,-표준계정코드 미사용-
자본변동표,자기주식의 취득,-표준계정코드 미사용-
자본변동표,자기주식의 취득,-표준계정코드 미사용-
자본변동표,자기주식의 소각,-표준계정코드 미사용-
자본변동표,자기주식의 소각,-표준계정코드 미사용-
자본변동표,기말자본,ifrs_Equity
자본변동표,기말자본,ifrs_Equity
자본변동표,기말자본,ifrs_Equity
자본변동표,기말자본,ifrs_Equity
자본변동표,기말자본,ifrs_Equity
