,corp_code,PER,PER score,PSR,PSR score,EE,EE score,3M momentum,Total Score
네오위즈홀딩스,00266952,3.605616508598513,97.99405646359584,1.183760160831024,47.77117384843982,1.8931333478025494,99.70282317979198,178.92,245.46805349182765
깨끗한나라,00113492,8.408749227831628,91.3075780089153,0.5415498906352391,73.40267459138187,14.991464627711574,80.75780089153047,97.22,245.46805349182762
팜스토리,00192499,8.313878959181247,91.67904903417534,0.23371829614446515,91.3075780089153,14.753418448212098,81.05497771173849,71.43,264.0416047548291
한국컴퓨터,00303396,8.037590493454378,92.12481426448737,0.5257877996355319,73.69985141158989,7.814046230119549,94.72511144130758,57.26,260.5497771173848
휴스틸,00156488,10.495947251675688,86.92421991084696,0.2480705534998415,90.41604754829123,19.426836725203795,73.17979197622586,57.2,250.52005943536406
대원산업,00111874,9.29429088771444,89.9702823179792,0.26128953957484263,89.52451708766716,13.678747939997043,83.28380386329866,52.36,262.778603268945
동원금속,00118008,3.258986276908206,98.6627043090639,0.11669862387762993,97.6225854383358,29.30054040912496,63.59583952451709,49.8,259.8811292719168
대한제강,00113225,7.275145049322498,93.31352154531946,0.3522972436843453,83.7295690936107,10.005326901757764,90.93610698365528,49.17,267.97919762258545
위니아,00300557,10.962112349430898,86.10698365527489,0.15496816887894765,95.61664190193164,12.431699893235656,85.51263001485884,48.73,267.2362555720654
코오롱인더,00795135,9.109841928813939,90.19316493313522,0.4591625940235566,77.26597325408618,14.370999811303678,82.02080237741455,47.81,249.47994056463597
대성산업,00828789,3.484086064057672,98.29123328380386,0.19860800268178216,93.7592867756315,14.172878508465281,82.16939078751858,45.8,274.21991084695395
해성산업,00219361,0.869613885451303,99.77711738484398,0.6262627816254769,68.20208023774146,2.3761952442787138,99.25705794947994,42.98,267.2362555720654
경동인베스트,00143527,6.135214900947847,95.39375928677563,0.30121470009395723,86.62704309063894,13.285044726295359,83.8038632986627,41.12,265.82466567607725
현대비앤지스틸,00125743,9.59004676460639,89.15304606240713,0.3326915593458258,84.76968796433879,13.103666671886877,84.02674591381873,40.57,257.94947994056463
강남제비스코,00100939,8.359894678350754,91.38187221396731,0.5712171365132598,71.3967310549777,12.006058035767774,86.70133729569093,39.3,249.47994056463594
유니드,00159786,7.7408424814555765,92.42199108469539,0.6677877376577538,66.86478454680534,9.199047520265243,92.19910846953938,39.12,251.48588410104014
인화정공,00482426,2.8565978153694864,98.95988112927192,0.8595065200321393,59.138187221396734,6.903176965815182,95.61664190193164,36.18,253.7147102526003
성도이엔지,00216498,1.1209269638237573,99.70282317979198,0.18592730186898582,94.42793462109955,1.944891125475908,99.62852897473996,36.0,293.7592867756315
현대코퍼레이션홀딩스,01108099,7.2141489628324615,93.38781575037147,0.83915474696482,59.9554234769688,4.98306060100393,97.77117384843982,35.27,251.11441307578008
아이즈비전,00200910,5.021236853678639,96.35958395245171,0.5846716502638858,70.95096582466567,4.495724986618129,98.29123328380386,34.6,265.60178306092126
포스코인터내셔널,00124504,10.723614237354806,86.47845468053492,0.11462764475328001,97.77117384843982,21.240352538442277,70.72808320950966,32.56,254.9777117384844
KTcs,00372882,10.443885322601064,87.07280832095097,0.12692771644755585,97.02823179791976,16.09162004707637,78.67756315007429,31.31,262.77860326894506
리드코프,00117708,4.98805583143206,96.50817236255573,0.6131239743014161,69.46508172362556,14.627382420435016,81.50074294205052,30.32,247.4739970282318
신대양제지,00135777,6.943556108828574,93.98216939078752,0.5209487373383777,74.29420505200594,8.328960667811122,93.7592867756315,30.14,262.03566121842493
유비벨록스,00592653,12.011200170735291,84.02674591381873,0.29914155634055156,86.77563150074295,9.331608262574356,92.12481426448737,29.99,262.92719167904903
