,corp_code,stock_code,PBR,PBR score,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,DIV,DIV score,6M momentum,3M momentum,Total Score
매일홀딩스,00120924,005990,0.22456392646001558,98.81129271916791,3.364571164743979,98.43982169390787,0.07960068147693677,99.10846953937593,7.294234952627988,95.83952451708767,1.8267532028655453,96.87964338781575,0.04641293403485356,96.80534918276375,28.4,17.25,719.2620006716803
심텍홀딩스,00152127,036710,0.34993025658878235,96.2852897473997,3.722021259600564,98.14264487369985,0.09311072154061759,98.43982169390787,7.936925198690119,94.9479940564636,0.5273137054262818,99.85141158989599,0.021300623356969816,87.44427934621099,19.38,6.83,715.7147973141952
영원무역홀딩스,00140964,009970,0.21749996695963264,99.03417533432392,5.428208378994045,96.35958395245171,0.19965939614217987,94.05646359583952,2.242227099434368,99.47994056463595,1.2741464868837962,98.6627043090639,0.045795128254774664,96.73105497771174,27.07,24.49,715.4948400146798
대상홀딩스,00539274,084690,0.33036723253546335,96.73105497771174,5.0002359042848425,96.87964338781575,0.11668251268844373,97.77117384843982,7.451653606786493,95.61664190193164,3.036785479912365,92.79346210995543,0.05104673419479986,97.5482912332838,13.17,13.73,709.0365822305537
KISCO홀딩스,00159740,001940,0.2292162255905673,98.51411589895989,8.386136366314373,92.27340267459138,0.2874039118132166,89.15304606240713,6.081651409768235,97.17682020802377,2.1427725311343107,96.35958395245171,0.037333172187528026,94.72511144130758,65.85,39.73,690.8566302202763
KG케미칼,00101220,001390,0.2515410681804395,98.21693907875186,2.452043293992311,99.25705794947994,0.10287780745864593,98.36552748885588,13.99085192143204,83.20950965824666,1.2221923300194273,98.88558692421991,0.0385010374980797,94.9479940564636,44.33,30.51,690.2028988461351
계룡건설산업,00102432,013580,0.5210880809351203,88.93016344725112,3.3095917282770677,98.58841010401188,0.14353905941572198,96.50817236255573,11.551951205730237,88.11292719167905,1.62971451647323,97.47399702823179,0.016830294530154277,83.72956909361069,59.51,19.83,690.114922861239
아세아,00138701,002030,0.1610385144384746,99.40564635958395,5.854164261203784,95.98811292719168,0.16109209424636955,95.98811292719168,12.225588152345118,86.47845468053492,1.2911403647183997,98.58841010401188,0.03597406196290119,94.35364041604755,60.82,40.15,688.6905116607711
LX인터내셔널,00120076,001120,0.7261780488231959,79.9405646359584,4.290716655160186,97.6225854383358,0.11317051986736433,97.84546805349183,9.26699743557792,92.86775631500743,5.011507068017498,83.7295690936107,0.01810124042337993,84.84398216939078,109.44,32.22,686.3268439294277
화성산업,00174527,002460,0.4205985260438278,93.53640416047548,5.038699627878607,96.80534918276375,0.3957198322597107,83.28380386329866,2.501677343624997,99.25705794947994,1.6507812512540536,97.32540861812778,0.0364963503649635,94.50222882615157,10.04,16.1,685.6198159905595
DN오토모티브,00116949,007340,0.4541556048644315,92.42199108469539,6.139609506047815,95.76523031203565,0.36088405133917356,85.21545319465082,6.773434945361232,96.35958395245171,2.817140085455351,93.6849925705795,0.05852213810420194,98.36552748885588,55.41,25.91,679.1713174920492
사조대림,00109718,003960,0.32399797671258374,97.10252600297177,4.047655916640608,97.99405646359584,0.08516718877630586,98.88558692421991,14.322509672764113,82.39227340267459,1.7812131091206114,97.02823179791976,0.007538635990233129,67.08766716196136,42.14,20.24,678.7325741306337
엠케이전자,00121686,033160,0.2719599641346238,98.06835066864785,9.01906774267717,91.01040118870728,0.2850289464057524,89.37592867756315,10.856703477793424,90.0445765230312,0.755287952378541,99.47994056463595,0.05116156468447932,97.6225854383358,24.35,13.27,677.704066178501
한일홀딩스,00162993,003300,0.22440733121993395,98.88558692421991,8.33111086889959,92.3476968796434,0.26685204914520005,90.34175334323923,11.652523354714758,87.81575037147103,1.6320125114423407,97.3997028231798,0.07475892246109793,99.18276374442793,-70.11,28.51,674.2744708887475
KPX홀딩스,00587466,092230,0.21335584964196594,99.18276374442793,1.4696155683940475,99.55423476968797,0.2992044052019243,87.89004457652302,5.703718616477383,97.47399702823179,3.1827360508526805,92.4962852897474,0,25.85438335809807,43.03,13.68,673.0070479967682
코오롱,00152862,002020,0.5494892036020609,87.36998514115899,2.9151431929936407,98.95988112927192,0.09091834191511877,98.58841010401188,17.472918416823223,76.59732540861813,1.3346934128136525,98.36552748885588,0.020617924931209376,86.92421991084696,61.76,36.65,670.0547134271573
현대코퍼레이션,00164812,011760,0.8288313692565561,75.33432392273403,5.280029556663205,96.58246656760772,0.09047146789262601,98.6627043090639,17.02829619669786,77.86032689450224,1.850675421462405,96.73105497771174,0.029141493955403552,91.82763744427935,45.64,24.36,667.9548203803012
미창석유공업,00122056,003650,0.45750662850389456,92.27340267459138,6.442773127556558,95.54234769687965,0.4567636228221236,80.0891530460624,4.494496204205124,98.43982169390787,3.3221780295704355,91.82763744427935,0.02416216592695918,89.22734026745914,32.59,30.94,666.6639047034477
에스제이엠홀딩스,00181943,025530,0.24107638748086116,98.36552748885588,11.928069233545347,85.66121842496285,0.422202894412951,81.94650817236256,6.376902623740821,96.87964338781575,2.707128080866411,94.05646359583952,0.06895207887763151,99.03417533432392,57.5,18.55,664.602051758349
휴비스,00362238,079980,0.778165159242449,77.56315007429421,4.504902320802364,97.32540861812778,0.40230334533942547,82.98662704309064,5.913006431933957,97.3997028231798,4.143950956741149,87.81575037147103,0.013671096374767685,79.34621099554235,31.73,33.61,662.8908204564585
