,corp_code,PBR,PBR score,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,DIV,DIV score,6M momentum,Total Score
네오위즈홀딩스,00266952,0.5361981416490272,87.29569093610698,3.605616508598513,97.99405646359584,1.183760160831024,47.77117384843982,1.8931333478025494,99.70282317979198,4.811026927223912,83.06092124814265,0.002925514252315292,56.76077265973254,174.78,604.0351069823943
대한제강,00113225,0.7041957849637803,78.7518573551263,7.275145049322498,93.31352154531946,0.3522972436843453,83.7295690936107,10.005326901757764,90.93610698365528,1.9490425505969218,95.98811292719168,0.011643223514799204,74.59138187221397,157.55,641.7694677277688
인화정공,00482426,0.5528585870545538,86.47845468053492,2.8565978153694864,98.95988112927192,0.8595065200321393,59.138187221396734,6.903176965815182,95.61664190193164,7.612996436659998,70.0594353640416,0,25.85438335809807,149.06,588.0132735106621
LX인터내셔널,00120076,0.6269678083501677,82.31797919762258,3.7045201543847806,97.84546805349183,0.0977091953221047,98.36552748885588,8.884329178752198,92.5705794947994,4.32683638407708,85.58692421991084,0.0209655476355624,86.10698365527489,98.38,666.2755032281541
현대비앤지스틸,00125743,0.528161408225671,87.66716196136701,9.59004676460639,89.15304606240713,0.3326915593458258,84.76968796433879,13.103666671886877,84.02674591381873,4.299917640430144,85.66121842496285,0.00673567952906408,64.78454680534918,95.28,618.507106916143
강남제비스코,00100939,0.3342065885322406,95.83952451708767,8.359894678350754,91.38187221396731,0.5712171365132598,71.3967310549777,12.006058035767774,86.70133729569093,6.37431721605919,75.85438335809806,0.016694629510723,82.39227340267459,92.6,609.6433512461074
한국컴퓨터,00303396,0.6902382839827262,79.42050520059435,8.037590493454378,92.12481426448737,0.5257877996355319,73.69985141158989,7.814046230119549,94.72511144130758,16.95657420547502,48.21693907875186,0.02826086956521739,90.63893016344726,86.23,584.7131093929529
휴스틸,00156488,0.21883157090467933,98.43982169390787,10.495947251675688,86.92421991084696,0.2480705534998415,90.41604754829123,19.426836725203795,73.17979197622586,4.286651965636626,85.88410104011888,0.025210084033613446,89.37592867756315,76.3,617.7503010777824
선진,00855093,1.0154656516429557,64.26448736998515,4.66439244783408,96.87964338781575,0.28928276395187497,87.44427934621099,9.970057283980593,91.01040118870728,3.440197466545207,90.34175334323923,0.003048780487804878,57.20653789004458,70.3,623.6745244162083
한양이엔지,00216762,0.8637537944658094,70.57949479940565,6.596233750769983,94.57652303120356,0.4186118113167471,79.9405646359584,6.035579032215001,96.87964338781575,4.26616922142969,85.95839524517088,0.024695851199998353,89.00445765230312,69.77,634.551103158667
에스제이엠,00815369,0.38911798071427905,93.53640416047548,42.71738082876261,58.39524517087667,0.487269914510428,76.15156017830608,8.092490819171521,94.05646359583952,3.0019009777767325,91.90193164933135,0,25.85438335809807,67.18,603.9975056246905
한솔로지스틱스,00140946,1.6311567497861366,43.684992570579496,10.259604883057284,87.74145616641903,0.17492189861230212,94.87369985141159,17.840687518573567,75.40861812778603,2.3141015040631263,94.87369985141159,0.012326655418487905,75.92867756315007,65.14,576.5922674058078
케이씨씨,00105271,0.36495235877160276,94.79940564635959,3.4134967189907646,98.51411589895989,0.37660838568671917,82.31797919762258,12.279702494532101,85.95839524517088,2.816100411145444,92.94205052005944,0.026136955634080437,89.82169390787519,64.47,651.1091830966632
POSCO홀딩스,00155319,0.5237817768306464,87.74145616641903,13.964739405499449,80.83209509658246,0.432079504640042,79.12332838038633,25.494626636858573,66.41901931649332,2.874952572480217,92.64487369985142,0.026396318563698288,89.89598811292718,62.62,575.6668343844207
동원금속,00118008,0.8362143702652343,71.54531946508172,3.258986276908206,98.6627043090639,0.11669862387762993,97.6225854383358,29.30054040912496,63.59583952451709,1.113220467923965,99.10846953937593,0,25.85438335809807,62.39,585.7523243265384
해성산업,00219361,0.44041806666580763,91.82763744427935,0.869613885451303,99.77711738484398,0.6262627816254769,68.20208023774146,2.3761952442787138,99.25705794947994,6.3576575004576625,75.92867756315007,0.007318370492986173,66.3447251114413,61.68,633.8750699720027
코오롱인더,00795135,0.8085443778731507,72.95690936106983,9.109841928813939,90.19316493313522,0.4591625940235566,77.26597325408618,14.370999811303678,82.02080237741455,3.709326369289563,88.48439821693908,0.014996691541235261,80.16344725111442,60.57,594.7839272636821
원익홀딩스,00216647,0.4811031492130501,89.8959881129272,6.817931808467373,94.20505200594354,0.8300898739109337,60.10401188707281,7.937562138762333,94.35364041604755,4.850596312603516,82.98662704309064,0,25.85438335809807,59.55,600.6600670840548
경동인베스트,00143527,0.21715174472085846,98.51411589895989,6.135214900947847,95.39375928677563,0.30121470009395723,86.62704309063894,13.285044726295359,83.8038632986627,5.067695221570598,82.09509658246657,0.012189329049634174,75.55720653789004,59.48,637.2838464812554
신대양제지,00135777,0.529392530225214,87.592867756315,6.943556108828574,93.98216939078752,0.5209487373383777,74.29420505200594,8.328960667811122,93.7592867756315,3.232823117635437,90.93610698365528,0.00905755081404047,69.39078751857355,59.12,637.8178947343371
원익,00210980,0.534281016851174,87.518573551263,1.2555345028356444,99.62852897473996,1.139254018401334,49.554234769687966,1.8707939278275518,99.77711738484398,12.298866199078311,55.72065378900446,0,25.85438335809807,57.7,569.0106550181206
미래나노텍,00526836,0.43687421893570405,91.97622585438336,4.253641436383864,97.5482912332838,0.22122451083305755,92.12481426448737,7.1072254398495565,95.31946508172362,220.06688875489783,25.260029717682016,0,25.85438335809807,55.78,588.7037774004577
