,corp_code,stock_code,PBR,PBR score,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,DIV,DIV score,6M momentum,Total Score
인탑스,00226866,049070,1.0066077254944144,61.19402985074627,7.905530716637121,83.15565031982942,0.6070432014908423,67.51954513148543,6.194237074345689,91.11584932480454,6.351358029746511,82.87135749822318,0.014568887035954938,78.3226723525231,77.12,587.3882285829969
심텍홀딩스,00152127,036710,0.538889654464507,84.07960199004975,9.120548174552713,79.67306325515281,0.18287345261845725,92.89267945984363,4.833297824239128,95.38024164889836,2.962361918027107,93.81663113006397,0.03098722521209537,90.76048329779674,50.52,677.1093465446901
LX인터내셔널,00120076,001120,0.5921121958406342,81.66311300639659,2.612729075571623,97.72565742714997,0.08460356531188543,98.4363894811656,6.713655644462431,90.12082444918266,8.03999383277742,75.83511016346837,0.02251276222554507,85.85643212508884,44.83,672.9238037494881
세아제강지주,00124197,003030,0.38070660547801893,92.25302061122957,2.6650967728056796,97.6545842217484,0.21256438609450473,90.76048329779672,5.463859102582959,93.53233830845771,-3.6455986728628247,16.844349680170566,0.016185529324500347,79.53091684434969,29.44,594.4031745880618
아세아,00138701,002030,0.16328357555876552,99.28926794598436,2.667951462001891,97.58351101634683,0.15176240751622536,95.23809523809524,6.8957980200969855,89.69438521677327,1.2987740081889878,98.86282871357498,0.03322055939557589,91.89765458422175,27.31,695.5632389024241
대한제강,00113225,084010,0.62005953470962,80.66808813077469,2.7283022162257664,97.37029140014215,0.21995294880642724,90.04975124378109,3.6603575926948966,97.6545842217484,3.0262664099304697,93.53233830845771,0.014492753623188406,78.18052594171998,25.08,687.8476882906986
성우전자,00364306,081580,0.4625786368612931,88.05970149253731,9.080767669553689,79.8862828713575,0.3462754897561101,82.72921108742004,14.522334290327253,68.79886282871357,3.8010772639922683,91.18692253020612,0,26.474769012082447,18.91,570.719007838963
케이티,00190321,030200,0.5124048263911964,85.9275053304904,6.256342321122459,88.34399431414357,0.3409547574594832,82.87135749822318,13.173036975633476,71.2864250177683,1.5263118705089005,98.00995024875621,0.04126871851153098,94.88272921108742,17.65,610.1983372676068
제이엠티,00533508,094970,0.8523104143610137,68.08813077469793,4.229177234633743,93.67448471926083,0.808622502288112,60.127931769722814,5.102044896422944,94.5273631840796,2.528408130796069,95.94882729211088,0.013020833333333334,76.54584221748401,17.25,603.1129630046504
사조대림,00109718,003960,0.4257306486739198,89.90760483297797,3.3195838629922325,96.090973702914,0.12182852399056501,96.73063255152807,8.128469818057928,86.21179815209666,3.542355306469344,92.11087420042644,0.006656201533099556,65.2452025586354,16.7,673.0209202665324
한국컴퓨터,00303396,054040,0.6319766965469714,79.95735607675905,4.794658266470361,92.25302061122957,0.37427461474063883,81.02345415778251,4.903030550272001,95.0959488272921,3.7220803734844115,91.54228855721394,0.031481701512576295,91.11584932480456,16.52,655.6996889923068
한미글로벌,00413523,053690,0.8346207116181213,68.86993603411514,8.283359094185741,82.16062544420754,0.4453623984640052,76.83013503909027,10.331574223887682,80.02842928216063,9.145855146955556,72.636815920398,0.023497347235943263,86.3539445628998,14.41,575.143858830023
한국전자홀딩스,00159254,006200,0.23774771321810978,97.72565742714997,2.5251565287352586,97.93887704335465,0.22247325567608983,89.90760483297797,6.682770233069466,90.26297085998578,2.132596740804141,96.73063255152807,0,26.474769012082447,13.9,664.2474769952233
파커스,00384762,065690,0.5260863809626983,85.07462686567165,4.467248134902874,93.24804548685145,0.4553529666049017,76.26154939587775,8.865093810527455,84.22174840085287,10.239662858792144,69.65174129353234,0.04657322236226658,96.16204690831557,13.88,596.4212540484783
GS,00500254,078930,0.32158998745260137,95.02487562189054,27.567852964697646,52.66524520255863,0.22566726289687025,89.55223880597015,7.171226652356568,88.69936034115139,4.504702008538916,88.98365316275763,0.05179851705528295,97.0859985785359,12.81,625.9603561550563
이수화학,00145552,005950,1.0693083586111987,58.49324804548685,168.23845393125663,37.17128642501776,0.24597111074203418,88.20184790334044,8.048421324835454,86.56716417910448,6.867366711625141,80.59701492537313,0.016870896822128823,80.6680881307747,12.41,581.7415895660748
하림지주,00148364,003380,0.18373438222884253,98.93390191897655,2.506836636239685,98.08102345415779,0.07230522282378488,99.07604832977967,10.848807213129625,78.3226723525231,1.0637728641790258,99.2181947405828,0.02850441276439646,89.76545842217485,11.65,678.5238762930621
태경산업,00153339,015890,0.5311259329595046,84.64818763326225,7.240576534973328,85.35891968727789,0.3961865739030035,80.02842928216063,9.660228335064994,81.80525941719972,3.3191213504745125,92.67945984363895,0.035463886543084716,93.10589907604833,9.79,618.2529162436058
제이씨현시스템,00223513,033320,1.1271898722126477,56.28997867803837,8.072190362548575,82.72921108742004,0.4854019202158969,74.34257285003554,6.913985513491382,89.62331201137171,5.933120668061226,84.57711442786069,0.010263929618768328,71.57071783937457,8.08,599.5130694872207
한국무브넥스,00160418,010100,0.3501918095013222,93.60341151385927,81.64806866532103,41.22245913290689,0.09160047721951925,97.93887704335465,14.291822029558288,69.29637526652452,2.2591372709831314,96.51741293532338,0.016556291390728478,80.09950248756219,8.05,594.1659952721591
신대양제지,00135777,016590,0.5415018919408496,84.00852878464819,5.616165779435167,90.33404406538735,0.49798827676054014,73.70291400142146,6.961913603219681,89.33901918976545,16.373260377621296,55.863539445628994,0.007778025973801154,66.66666666666667,8.04,575.5902434671306
대한제분,00113243,001130,0.33068232497039696,94.5273631840796,3.3358649379516,95.94882729211088,0.26202979610764454,87.27789623312012,4.911372887320661,95.02487562189054,10.161399664343055,69.9360341151386,0.011299435028248588,73.91613361762616,7.93,647.9378309832891
파트론,00490151,091700,1.284559441057981,50.81734186211798,7.882435451980475,83.29779673063256,0.4702482550847898,74.91115849324804,9.493734797704686,82.30277185501066,3.7624986561400884,91.25799573560768,0.02352806317676709,86.42501776830136,7.73,594.7191099121305
세보엠이씨,00133876,011560,0.434809706617336,89.41009239516703,5.823893497832824,89.55223880597015,0.16163771460150111,94.38521677327647,13.986616369283778,69.79388770433546,1.6160258504792124,97.79673063255153,0.028587264656532076,89.90760483297798,7.54,635.3527834751332
태웅로직스,00562245,124560,1.4198040472035116,46.90831556503198,2.714355529369595,97.44136460554371,0.1840661027376074,92.82160625444207,4.159375315527063,97.01492537313433,-24.58265582638096,16.844349680170566,0.005434782608695652,62.61549395877755,7.23,593.9879586285624
