,corp_code,stock_code,revPER,revPER score,Total Score
SGC에너지,00125150,005090,0.00012871319822407203,99.92892679459844,99.92892679459844
HL D&I,00161116,014790,0.00034442780599735085,99.85785358919688,99.85785358919688
효성,00117188,004800,0.0016754048711068227,99.7867803837953,99.7867803837953
모나미,00121288,005360,0.00278728444053736,99.71570717839374,99.71570717839374
KH 건설,01097906,226360,0.003008715718655246,99.64463397299218,99.64463397299218
F&F 홀딩스,00126487,007700,0.005762997688912242,99.57356076759062,99.57356076759062
삼성출판사,00423690,068290,0.010514132211217572,99.50248756218906,99.50248756218906
키다리스튜디오,00140131,020120,0.01179958023365569,99.43141435678749,99.43141435678749
STX,00138297,011810,0.013393882211538461,99.36034115138592,99.36034115138592
에이루트,00608839,096690,0.015069101976936646,99.28926794598436,99.28926794598436
웅진씽크빅,00628189,095720,0.01582167039463449,99.2181947405828,99.2181947405828
케이티앤지,00244455,033780,0.0161082932420113,99.14712153518124,99.14712153518124
CBI,00151605,013720,0.016837033602542368,99.07604832977967,99.07604832977967
DH오토웨어,00110583,025440,0.017340347417655593,99.0049751243781,99.0049751243781
아이오케이,00543204,078860,0.01760295765504983,98.93390191897655,98.93390191897655
아세아시멘트,00990165,183190,0.021772649620440433,98.86282871357498,98.86282871357498
효성첨단소재,01316254,298050,0.02441188809371548,98.79175550817342,98.79175550817342
엠투엔,00143226,033310,0.02551176386705652,98.72068230277185,98.72068230277185
국일제지,00104573,078130,0.025579309936779048,98.64960909737029,98.64960909737029
대한해운,00113535,005880,0.026193475006438236,98.57853589196873,98.57853589196873
한국콜마,00939331,161890,0.02829637341223599,98.50746268656717,98.50746268656717
프리엠스,00352064,053160,0.03264854367438182,98.4363894811656,98.4363894811656
아모레퍼시픽그룹,00154462,002790,0.033530793983427266,98.36531627576403,98.36531627576403
글로벌텍스프리,01042711,204620,0.03408508396918814,98.29424307036247,98.29424307036247
풍강,00155373,093380,0.03489317681244568,98.22316986496091,98.22316986496091
