,corp_code,stock_code,PBR,PBR score,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,DIV,DIV score,6M momentum,3M momentum,Total Score
매일홀딩스,00120924,005990,0.19013413515339536,98.79175550817342,2.4836312849893387,98.29424307036247,0.07020551316336728,99.14712153518124,4.531355500056485,96.23312011371713,1.043468209271718,99.36034115138592,0.0467059647856457,96.23312011371713,1.52,8.88,722.8532427884334
KISCO홀딩스,00159740,001940,0.17211965579015875,99.2181947405828,1.3708324528302975,99.43141435678749,0.15468461555566398,95.02487562189054,1.947163058038459,99.36034115138592,1.8353882802805186,97.37029140014215,0.046988462109750474,96.3041933191187,2.32,16.12,718.9317901046704
SNT홀딩스,00225159,036530,0.13930620255183496,99.43141435678749,3.324182330629988,96.01990049751244,0.17661714349584987,93.31911869225301,2.3615598655804235,99.0049751243781,2.7550499649722906,94.5273631840796,0.04130965026533311,94.953802416489,-4.72,6.19,707.0867531148966
삼지전자,00128315,037460,0.43402815506185954,89.62331201137171,6.010256886079639,88.91257995735607,0.07391669090837008,98.93390191897655,5.6647937915908955,92.89267945984363,0.9436465874491003,99.71570717839374,0.06563620660496346,98.50746268656717,1.26,11.06,704.7930735354432
아세아,00138701,002030,0.16328357555876552,99.28926794598436,2.667951462001891,97.58351101634683,0.15176240751622536,95.23809523809524,6.8957980200969855,89.69438521677327,1.2987740081889878,98.86282871357498,0.03322055939557589,91.89765458422175,27.31,12.22,695.5632389024241
대한제강,00113225,084010,0.62005953470962,80.66808813077469,2.7283022162257664,97.37029140014215,0.21995294880642724,90.04975124378109,3.6603575926948966,97.6545842217484,3.0262664099304697,93.53233830845771,0.014492753623188406,78.18052594171998,25.08,8.66,687.8476882906986
성도이엔지,00216498,037350,0.31220037512349524,95.38024164889836,3.934876870613361,94.17199715707179,0.1439171439839812,95.80668088130774,7.930584696948213,86.99360341151386,2.627527661428746,95.3091684434968,0.0367591491503121,93.7455579246624,5.83,7.65,682.9969899452778
KG케미칼,00101220,001390,0.29251054136615195,96.01990049751244,2.519149072273006,98.00995024875621,0.10602572864271183,97.44136460554371,8.608978418055937,84.86140724946695,3.5484552879497078,92.03980099502488,0.04295560385156967,95.16702203269368,-1.56,39.59,682.3581425366972
하림지주,00148364,003380,0.18373438222884253,98.93390191897655,2.506836636239685,98.08102345415779,0.07230522282378488,99.07604832977967,10.848807213129625,78.3226723525231,1.0637728641790258,99.2181947405828,0.02850441276439646,89.76545842217485,11.65,9.06,678.5238762930621
POSCO홀딩스,00155319,005490,0.38775308270352205,92.03980099502488,2.9531838090176845,96.94385216773277,0.27839817731364697,86.35394456289978,5.643784969044939,93.03482587064677,3.3950384345311706,92.3951670220327,0.06168805341583122,98.08102345415779,-1.23,4.66,673.6297544616804
