,corp_code,PER,PER score,PSR,PSR score,EE,EE score,3M momentum,Total Score
패션플랫폼,01101041,4.228138523770972,93.87027797576621,0.75300970857619,62.936564504632926,4.545742734326606,96.86386315039202,43.91,253.6707056307912
LX인터내셔널,00120076,2.3497920093676,98.36065573770492,0.07608932115947913,98.85958660014255,6.5202790167150075,91.37562366357804,35.77,288.5958660014255
한일화학,00267979,3.394992824672783,96.2223806129722,0.6762576458651828,65.64504632929436,3.38097252100051,98.00427655024947,31.83,259.871703492516
KG케미칼,00101220,2.6387920361276604,98.00427655024947,0.11106125137508337,97.29151817533857,8.674624881675271,85.7448325017819,31.67,281.04062722736995
제이에스코퍼레이션,00332927,6.892022682880175,87.66928011404134,0.3372180475841638,83.67783321454027,10.935122912501207,79.18745545260157,28.47,250.53456878118317
대창스틸,00112721,5.376146403461582,91.51817533856023,0.27970067873889765,87.17034925160371,13.835126843339433,71.20456165359943,24.01,249.89308624376335
케이티,00190321,6.44750833649009,88.73841767640769,0.3513728194929674,83.03635067712045,13.304146720069793,72.34497505345688,22.64,244.11974340698504
우리엔터프라이즈,00155692,3.768837688386422,95.29579472558802,0.050655353150055975,99.78617248752673,10.237604795982657,81.39700641482537,22.2,276.47897362794015
인탑스,00226866,7.44590683776287,86.10121168923735,0.5717499921018399,70.42052744119744,5.844091273767717,93.15751960085531,17.77,249.67925873129008
영원무역홀딩스,00140964,2.9275954026855726,97.36279401282965,0.19947232229952888,91.94583036350677,1.5960085058873612,99.71489665003564,15.92,289.02352102637207
대한제강,00113225,2.701941808339527,97.86172487526729,0.217827799542597,90.73414112615824,3.640765011678416,97.93300071275837,15.49,286.5288667141839
휴스틸,00156488,3.713811970808454,95.43834640057021,0.2288334246755757,89.87883107626514,8.197590614248321,87.17034925160371,14.29,272.4875267284391
대한제분,00113243,3.326441590669251,96.36493228795439,0.2612895989434986,88.02565930149679,4.90502600940969,96.00855310049893,13.87,280.3991446899501
아세아,00138701,2.7824180263782097,97.7191732002851,0.15827366592451225,94.93941553813258,6.9528390125334125,90.52031361368496,13.67,283.1789023521026
이화산업,00145686,1.0764487027235277,99.64362081254454,0.8771943201140141,57.30577334283677,1.3790735879839768,99.85744832501781,13.12,256.8068424803991
신대양제지,00135777,5.819087816099136,90.52031361368496,0.5159814769835565,73.05773342836778,7.118191079821808,90.02138275124733,12.2,253.59942979330006
매일홀딩스,00120924,2.520700408645896,98.14682822523164,0.07125335664341753,99.2872416250891,4.546195049237021,96.79258731290092,11.6,294.22665716322166
KISCO홀딩스,00159740,1.3397654284035485,99.57234497505345,0.1511790152031277,95.36707056307911,1.9238672265769738,99.64362081254454,10.93,294.5830363506771
사조대림,00109718,3.2422557863168726,96.79258731290092,0.11899058832356349,97.0064148253742,8.075388304758821,87.45545260156807,10.34,281.2544547398432
대원,00111838,4.558617034024706,93.3000712758375,0.46284880466371786,75.9087669280114,4.062940904784198,97.57662152530293,10.04,266.78545972915185
제이에스티나,00120289,3.3252020819874315,96.43620812544548,0.869952707044389,57.8759800427655,4.20645689114603,97.36279401282965,9.79,251.67498218104063
한신공영,00162063,4.743128687797608,92.80114041339985,0.1615402577212373,94.6543121881682,18.87076048465245,60.72701354240912,9.58,248.18246614397717
하림지주,00148364,2.4947263143254834,98.21810406272273,0.07195592223043326,99.21596578759801,10.842988057652436,79.54383464005701,9.34,276.97790449037774
에스제이엠홀딩스,00181943,8.727900914299585,82.39486813970063,0.35856424198347747,82.7512473271561,5.606670893691391,93.79900213827513,9.09,258.9451176051318
한국주철관공업,00159573,3.2381239268960513,96.86386315039202,0.4182576564451444,78.75980042765502,2.542591180522245,99.21596578759801,9.01,274.83962936564507
