,corp_code,PER,PER score,PSR,PSR score,EE,EE score,3M momentum,Total Score
코리아에프티,00803425,5.971174615244618,87.13405238828967,0.2683554524847471,80.50847457627118,9.910003785775679,82.5115562403698,80.44,250.15408320493066
지역난방공사,00159698,2.183306831606263,98.5362095531587,0.11011483877212588,94.14483821263482,27.08764254443922,57.473035439137135,46.59,250.15408320493066
SNT홀딩스,00225159,3.956490561156263,93.68258859784284,0.18229845254606988,87.90446841294299,3.8141949216188453,96.76425269645608,39.12,278.3513097072419
삼목에스폼,00125646,2.5504224888535414,97.61171032357473,0.6929426817359186,55.1617873651772,3.174931676139489,97.7657935285054,34.72,250.5392912172573
아세아,00138701,4.425778674357693,92.14175654853621,0.19520888257080946,86.59476117103236,6.552466609306023,90.36979969183359,31.29,269.10631741140213
현대지에프홀딩스,00105280,0.6393883801600815,99.84591679506934,0.2676971558701587,80.73959938366718,2.8281318212448925,98.69029275808937,30.68,279.2758089368259
한국공항,00156691,6.33586899618095,85.82434514637904,0.3654862285906369,73.4206471494607,7.196183712853349,89.29121725731895,29.94,248.5362095531587
HDC,00164636,3.813107664829827,94.0677966101695,0.07296674187372533,97.38058551617874,18.212671718184914,66.4869029275809,24.18,257.93528505392914
서연,00163114,1.8941300489873942,98.92141756548536,0.0529087205402459,98.7673343605547,5.980327700361531,91.83359013867488,24.05,289.52234206471496
케이씨,00209780,5.989753641474112,86.82588597842835,0.39167827976184716,70.72419106317412,4.672142674937492,95.0693374422188,20.43,252.61941448382126
SK디스커버리,00131832,4.645563651769252,91.29429892141756,0.09927761433851588,95.22342064714947,17.24196951505629,68.18181818181819,16.37,254.69953775038522
KPX홀딩스,00587466,2.6818540050006168,97.38058551617874,0.18662500387993908,87.75038520801233,2.895882295041411,98.5362095531587,14.71,283.66718027734976
한양이엔지,00216762,4.030379143675861,93.45146379044684,0.30387043768436045,77.96610169491525,4.218275206690789,95.99383667180277,14.63,267.41140215716484
정다운,01047415,2.9240730235927166,96.91833590138675,0.5145132655700553,63.63636363636364,3.9532660530312675,96.5331278890601,12.31,257.08782742681046
한일홀딩스,00162993,3.6258281249435673,94.53004622496148,0.16008999679885771,89.59938366718028,5.977132579506483,91.91063174114022,12.16,276.040061633282
영원무역홀딩스,00140964,2.622367040152062,97.45762711864407,0.22381271889919838,83.9753466872111,1.6976251393299464,99.61479198767334,12.0,281.0477657935285
우리산업홀딩스,00359623,4.6976221845578205,90.9090909090909,0.12391683860939498,92.91217257318952,17.986963786412176,67.02619414483821,9.9,250.84745762711862
세보엠이씨,00133876,3.0559019583154847,96.61016949152543,0.10570084808097625,94.60708782742681,6.781276441976466,89.9075500770416,8.23,281.12480739599386
미창석유공업,00122056,2.4609735140639697,97.99691833590138,0.28652473094438846,79.89214175654854,2.2812803892521916,99.15254237288136,8.09,277.04160246533127
삼양사,00896285,4.676488619686643,91.06317411402158,0.1885065746176706,87.28813559322035,12.136741587586922,77.65793528505392,7.79,256.00924499229586
삼영무역,00127167,4.587755179162933,91.60246533127889,0.4817308593898044,65.4853620955316,4.999556445703038,94.22187981510015,6.8,251.30970724191064
바이오스마트,00240857,4.635346318793925,91.52542372881356,0.16440499809025738,89.29121725731895,9.093354543442283,84.12942989214176,6.52,264.94607087827427
동양이엔피,00178790,3.4142188325105978,95.22342064714947,0.2986399092509228,78.42835130970724,4.735683443293699,94.83821263482281,6.19,268.4899845916795
원림,00143794,5.4599748737791876,88.28967642526965,0.47582333014631606,66.0246533127889,4.242397645827546,95.83975346687211,5.97,250.15408320493066
쿠쿠홈시스,01267684,4.094480306379061,93.14329738058552,0.5203025717872387,63.32819722650231,3.690685651939721,96.91833590138675,5.73,253.38983050847457
