,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2024.05.07,6020.0,상승  10,6150.0,6270.0,5940.0,132053.0,,,,
1,2024.05.03,6010.0,상승  60,6100.0,6100.0,5800.0,84696.0,,,,
2,2024.05.02,5950.0,상승  400,5550.0,6320.0,5490.0,395185.0,,,,
3,2024.04.30,5550.0,상승  30,5520.0,5720.0,5450.0,91129.0,,,,
4,2024.04.29,5520.0,상승  90,5500.0,5520.0,5320.0,185177.0,0.0,0.0,0.0,
5,2024.04.26,5430.0,하락  20,5500.0,5510.0,5300.0,51765.0,1.0,1.0,1.0,
6,2024.04.25,5450.0,하락  250,5650.0,5700.0,5400.0,82799.0,2.0,2.0,2.0,
7,2024.04.24,5700.0,상승  50,5780.0,5820.0,5650.0,57909.0,3.0,3.0,3.0,
8,2024.04.23,5650.0,하락  140,5790.0,5930.0,5640.0,33586.0,4.0,4.0,4.0,
9,2024.04.22,5790.0,상승  120,5670.0,5840.0,5610.0,39071.0,5.0,5.0,5.0,
10,2024.04.19,5670.0,하락  480,6170.0,6170.0,5670.0,106884.0,6.0,6.0,6.0,
11,2024.04.18,6150.0,상승  150,6000.0,6190.0,5910.0,40186.0,7.0,7.0,7.0,
12,2024.04.17,6000.0,250.0,5750.0,6000.0,5700.0,57786.0,8.0,8.0,8.0,0.0
13,2024.04.16,5750.0,230.0,5970.0,6020.0,5740.0,55805.0,9.0,9.0,9.0,1.0
14,2024.04.15,5980.0,150.0,6130.0,6130.0,5880.0,56939.0,10.0,10.0,10.0,2.0
15,2024.04.12,6130.0,180.0,6320.0,6380.0,6110.0,37281.0,11.0,11.0,11.0,3.0
16,2024.04.11,6310.0,180.0,6370.0,6560.0,6010.0,113172.0,12.0,12.0,12.0,4.0
17,2024.04.09,6490.0,420.0,6070.0,6490.0,6070.0,86558.0,13.0,13.0,13.0,5.0
18,2024.04.08,6070.0,70.0,6170.0,6170.0,5990.0,52292.0,14.0,14.0,14.0,6.0
19,2024.04.05,6140.0,130.0,6270.0,6300.0,6090.0,60202.0,15.0,15.0,15.0,7.0
20,2024.04.04,6270.0,110.0,6410.0,6460.0,6230.0,42192.0,16.0,16.0,16.0,8.0
21,2024.04.03,6380.0,110.0,6450.0,6570.0,6240.0,79539.0,17.0,17.0,17.0,9.0
22,2024.04.02,6490.0,330.0,6820.0,6820.0,6440.0,73485.0,18.0,18.0,18.0,10.0
23,2024.04.01,6820.0,230.0,6610.0,6850.0,6610.0,36446.0,19.0,19.0,19.0,11.0
24,2024.03.29,6590.0,110.0,6820.0,6820.0,6570.0,45386.0,20.0,20.0,20.0,12.0
25,2024.03.28,6700.0,300.0,7000.0,7030.0,6650.0,85084.0,21.0,21.0,21.0,13.0
26,2024.03.27,7000.0,230.0,7230.0,7310.0,6870.0,67458.0,22.0,22.0,22.0,14.0
27,2024.03.26,7230.0,490.0,6780.0,7340.0,6620.0,221375.0,23.0,23.0,23.0,15.0
28,2024.03.25,6740.0,40.0,6720.0,6790.0,6570.0,75994.0,24.0,24.0,24.0,16.0
29,2024.03.22,6700.0,200.0,7000.0,7150.0,6480.0,122417.0,25.0,25.0,25.0,17.0
30,2024.03.21,6900.0,200.0,6710.0,7000.0,6710.0,85718.0,26.0,26.0,26.0,18.0
31,2024.03.20,6700.0,250.0,6950.0,6970.0,6680.0,66739.0,27.0,27.0,27.0,19.0
32,2024.03.19,6950.0,50.0,7100.0,7100.0,6470.0,56367.0,28.0,28.0,28.0,20.0
33,2024.03.18,7000.0,0.0,6960.0,7140.0,6960.0,37884.0,29.0,29.0,29.0,21.0
34,2024.03.15,7000.0,50.0,7050.0,7150.0,6960.0,44545.0,30.0,30.0,30.0,22.0
35,2024.03.14,7050.0,70.0,7120.0,7120.0,6940.0,48349.0,31.0,31.0,31.0,23.0
36,2024.03.13,7120.0,70.0,7200.0,7260.0,7000.0,53827.0,32.0,32.0,32.0,24.0
37,2024.03.12,7190.0,190.0,7370.0,7370.0,7020.0,89984.0,33.0,33.0,33.0,25.0
38,2024.03.11,7380.0,290.0,7700.0,7740.0,7220.0,151055.0,34.0,34.0,34.0,26.0
39,2024.03.08,7670.0,350.0,8020.0,8100.0,7610.0,109754.0,35.0,35.0,35.0,27.0
40,2024.03.07,8020.0,390.0,8490.0,8490.0,8000.0,92089.0,36.0,36.0,36.0,28.0
41,2024.03.06,8410.0,60.0,8470.0,8750.0,8300.0,54464.0,37.0,37.0,37.0,29.0
42,2024.03.05,8470.0,150.0,8610.0,8780.0,8350.0,72028.0,38.0,38.0,38.0,30.0
43,2024.03.04,8620.0,500.0,8120.0,8740.0,8110.0,107650.0,39.0,39.0,39.0,31.0
44,2024.02.29,8120.0,240.0,8360.0,8360.0,8060.0,46700.0,40.0,40.0,40.0,32.0
45,2024.02.28,8360.0,120.0,8240.0,8380.0,8110.0,66975.0,41.0,41.0,41.0,33.0
46,2024.02.27,8240.0,260.0,8550.0,8560.0,8140.0,68667.0,42.0,42.0,42.0,34.0
47,2024.02.26,8500.0,100.0,8400.0,8660.0,8210.0,62597.0,43.0,43.0,43.0,35.0
48,2024.02.23,8400.0,160.0,8500.0,8600.0,8210.0,71455.0,44.0,44.0,44.0,36.0
49,2024.02.22,8560.0,50.0,8590.0,8600.0,8430.0,32389.0,45.0,45.0,45.0,37.0
50,2024.02.21,8510.0,200.0,8970.0,9060.0,8460.0,124391.0,46.0,46.0,46.0,38.0
51,2024.02.20,8710.0,190.0,8950.0,8950.0,8600.0,83068.0,47.0,47.0,47.0,39.0
52,2024.02.19,8900.0,110.0,8850.0,9130.0,8770.0,72150.0,48.0,48.0,48.0,40.0
53,2024.02.16,8790.0,20.0,8790.0,8900.0,8590.0,73235.0,49.0,49.0,49.0,41.0
