,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2024.05.07,12070.0,하락  40,12190.0,12190.0,12020.0,29163.0,,,,
1,2024.05.03,12110.0,하락  70,12120.0,12180.0,12090.0,20395.0,,,,
2,2024.05.02,12180.0,상승  20,12130.0,12200.0,12050.0,29338.0,,,,
3,2024.04.30,12160.0,상승  130,12030.0,12220.0,12000.0,56858.0,,,,
4,2024.04.29,12030.0,상승  10,12020.0,12070.0,11960.0,26266.0,0.0,0.0,0.0,
5,2024.04.26,12020.0,보합0,12020.0,12030.0,11910.0,25669.0,1.0,1.0,1.0,
6,2024.04.25,12020.0,상승  20,12010.0,12130.0,11960.0,24089.0,2.0,2.0,2.0,
7,2024.04.24,12000.0,하락  30,12030.0,12050.0,11890.0,28307.0,3.0,3.0,3.0,
8,2024.04.23,12030.0,상승  20,11980.0,12070.0,11920.0,20562.0,4.0,4.0,4.0,
9,2024.04.22,12010.0,상승  220,11790.0,12010.0,11740.0,49720.0,5.0,5.0,5.0,
10,2024.04.19,11790.0,하락  70,11860.0,11860.0,11610.0,28112.0,6.0,6.0,6.0,
11,2024.04.18,11860.0,상승  60,11710.0,11910.0,11710.0,35738.0,7.0,7.0,7.0,
12,2024.04.17,11800.0,190.0,11620.0,11840.0,11620.0,27127.0,8.0,8.0,8.0,0.0
13,2024.04.16,11610.0,170.0,11780.0,11780.0,11610.0,46356.0,9.0,9.0,9.0,1.0
14,2024.04.15,11780.0,20.0,11780.0,11810.0,11620.0,36084.0,10.0,10.0,10.0,2.0
15,2024.04.12,11800.0,140.0,11950.0,11950.0,11760.0,40092.0,11.0,11.0,11.0,3.0
16,2024.04.11,11940.0,30.0,11980.0,12000.0,11750.0,44365.0,12.0,12.0,12.0,4.0
17,2024.04.09,11970.0,0.0,11930.0,12080.0,11920.0,25848.0,13.0,13.0,13.0,5.0
18,2024.04.08,11970.0,210.0,12180.0,12180.0,11940.0,51304.0,14.0,14.0,14.0,6.0
19,2024.04.05,12180.0,180.0,12300.0,12300.0,12120.0,68592.0,15.0,15.0,15.0,7.0
20,2024.04.04,12360.0,10.0,12300.0,12460.0,12190.0,77009.0,16.0,16.0,16.0,8.0
21,2024.04.03,12370.0,30.0,12370.0,12450.0,12190.0,65223.0,17.0,17.0,17.0,9.0
22,2024.04.02,12400.0,240.0,12140.0,12450.0,12120.0,113548.0,18.0,18.0,18.0,10.0
23,2024.04.01,12160.0,240.0,11930.0,12220.0,11900.0,44894.0,19.0,19.0,19.0,11.0
24,2024.03.29,11920.0,10.0,12040.0,12040.0,11900.0,54453.0,20.0,20.0,20.0,12.0
25,2024.03.28,11910.0,70.0,11980.0,11980.0,11910.0,34733.0,21.0,21.0,21.0,13.0
26,2024.03.27,11980.0,10.0,12010.0,12010.0,11900.0,48653.0,22.0,22.0,22.0,14.0
27,2024.03.26,11990.0,0.0,12040.0,12040.0,11940.0,31256.0,23.0,23.0,23.0,15.0
28,2024.03.25,11990.0,80.0,11910.0,12050.0,11910.0,51295.0,24.0,24.0,24.0,16.0
29,2024.03.22,11910.0,90.0,11800.0,11920.0,11760.0,33346.0,25.0,25.0,25.0,17.0
30,2024.03.21,11820.0,20.0,11820.0,11870.0,11650.0,58472.0,26.0,26.0,26.0,18.0
31,2024.03.20,11800.0,0.0,11860.0,11860.0,11720.0,39672.0,27.0,27.0,27.0,19.0
32,2024.03.19,11800.0,10.0,11800.0,11810.0,11710.0,20503.0,28.0,28.0,28.0,20.0
33,2024.03.18,11790.0,60.0,11900.0,11900.0,11790.0,33023.0,29.0,29.0,29.0,21.0
34,2024.03.15,11850.0,140.0,11720.0,11850.0,11660.0,39026.0,30.0,30.0,30.0,22.0
35,2024.03.14,11710.0,60.0,11800.0,11800.0,11620.0,44057.0,31.0,31.0,31.0,23.0
36,2024.03.13,11770.0,10.0,11780.0,11830.0,11700.0,27119.0,32.0,32.0,32.0,24.0
37,2024.03.12,11780.0,130.0,11750.0,11850.0,11630.0,42878.0,33.0,33.0,33.0,25.0
38,2024.03.11,11650.0,50.0,11590.0,11650.0,11510.0,33424.0,34.0,34.0,34.0,26.0
39,2024.03.08,11600.0,70.0,11670.0,11680.0,11500.0,73479.0,35.0,35.0,35.0,27.0
40,2024.03.07,11670.0,50.0,11730.0,11730.0,11650.0,49964.0,36.0,36.0,36.0,28.0
41,2024.03.06,11720.0,10.0,11770.0,11780.0,11660.0,43266.0,37.0,37.0,37.0,29.0
42,2024.03.05,11710.0,30.0,11740.0,11810.0,11660.0,47918.0,38.0,38.0,38.0,30.0
43,2024.03.04,11680.0,40.0,11690.0,11790.0,11610.0,71887.0,39.0,39.0,39.0,31.0
44,2024.02.29,11720.0,0.0,11710.0,11820.0,11650.0,20974.0,40.0,40.0,40.0,32.0
45,2024.02.28,11720.0,0.0,11800.0,11800.0,11610.0,40180.0,41.0,41.0,41.0,33.0
46,2024.02.27,11720.0,50.0,11770.0,11830.0,11680.0,73116.0,42.0,42.0,42.0,34.0
47,2024.02.26,11770.0,100.0,11800.0,11870.0,11720.0,54366.0,43.0,43.0,43.0,35.0
48,2024.02.23,11870.0,80.0,11960.0,11980.0,11800.0,61023.0,44.0,44.0,44.0,36.0
49,2024.02.22,11950.0,60.0,11930.0,11960.0,11810.0,75362.0,45.0,45.0,45.0,37.0
50,2024.02.21,11890.0,190.0,11700.0,11920.0,11620.0,95027.0,46.0,46.0,46.0,38.0
51,2024.02.20,11700.0,10.0,11650.0,11740.0,11650.0,71312.0,47.0,47.0,47.0,39.0
52,2024.02.19,11690.0,90.0,11580.0,11720.0,11560.0,45496.0,48.0,48.0,48.0,40.0
53,2024.02.16,11600.0,10.0,11580.0,11660.0,11550.0,40601.0,49.0,49.0,49.0,41.0
54,2024.02.15,11610.0,20.0,11640.0,11660.0,11550.0,48661.0,50.0,50.0,50.0,42.0
55,2024.02.14,11630.0,50.0,11500.0,11710.0,11500.0,67383.0,51.0,51.0,51.0,43.0
56,2024.02.13,11580.0,70.0,11650.0,11680.0,11550.0,159809.0,52.0,52.0,52.0,44.0
57,2024.02.08,11650.0,960.0,12070.0,12110.0,11580.0,591759.0,53.0,53.0,53.0,45.0
58,2024.02.07,12610.0,80.0,12530.0,12620.0,12320.0,225072.0,54.0,54.0,54.0,46.0
59,2024.02.06,12530.0,20.0,12600.0,12620.0,12350.0,120271.0,55.0,55.0,55.0,47.0
60,2024.02.05,12550.0,150.0,12400.0,12600.0,12350.0,200065.0,56.0,56.0,56.0,48.0
61,2024.02.02,12400.0,200.0,12200.0,12510.0,11970.0,259135.0,57.0,57.0,57.0,49.0
62,2024.02.01,12200.0,430.0,11730.0,12430.0,11640.0,428354.0,58.0,58.0,58.0,50.0
63,2024.01.31,11770.0,30.0,11790.0,11830.0,11620.0,83231.0,59.0,59.0,59.0,51.0
64,2024.01.30,11800.0,30.0,11770.0,11840.0,11660.0,105026.0,60.0,60.0,60.0,52.0
65,2024.01.29,11770.0,330.0,11480.0,11900.0,11410.0,202246.0,61.0,61.0,61.0,53.0
66,2024.01.26,11440.0,130.0,11310.0,11500.0,11270.0,58520.0,62.0,62.0,62.0,54.0
67,2024.01.25,11310.0,30.0,11280.0,11330.0,11220.0,45948.0,63.0,63.0,63.0,55.0
68,2024.01.24,11280.0,80.0,11200.0,11300.0,11150.0,36376.0,64.0,64.0,64.0,56.0
69,2024.01.23,11200.0,10.0,11220.0,11230.0,11130.0,96449.0,65.0,65.0,65.0,57.0
70,2024.01.22,11190.0,110.0,11300.0,11450.0,11090.0,126122.0,66.0,66.0,66.0,58.0
71,2024.01.19,11300.0,30.0,11310.0,11650.0,11270.0,70107.0,67.0,67.0,67.0,59.0
72,2024.01.18,11270.0,80.0,11180.0,11290.0,11140.0,68087.0,68.0,68.0,68.0,60.0
73,2024.01.17,11190.0,110.0,11360.0,11360.0,11160.0,144543.0,69.0,69.0,69.0,61.0
74,2024.01.16,11300.0,0.0,11300.0,11360.0,11220.0,62957.0,70.0,70.0,70.0,62.0
75,2024.01.15,11300.0,40.0,11380.0,11380.0,11230.0,52777.0,71.0,71.0,71.0,63.0
76,2024.01.12,11260.0,90.0,11350.0,11350.0,11200.0,72257.0,72.0,72.0,72.0,64.0
77,2024.01.11,11350.0,60.0,11290.0,11420.0,11250.0,59768.0,73.0,73.0,73.0,65.0
78,2024.01.10,11290.0,0.0,11300.0,11300.0,11220.0,49819.0,74.0,74.0,74.0,66.0
79,2024.01.09,11290.0,100.0,11260.0,11300.0,11160.0,50346.0,75.0,75.0,75.0,67.0
80,2024.01.08,11190.0,20.0,11250.0,11250.0,11150.0,27590.0,76.0,76.0,76.0,68.0
81,2024.01.05,11170.0,20.0,11130.0,11220.0,11110.0,97790.0,77.0,77.0,77.0,69.0
82,2024.01.04,11150.0,80.0,11230.0,11300.0,11110.0,106303.0,78.0,78.0,78.0,70.0
83,2024.01.03,11230.0,130.0,11360.0,11360.0,11230.0,56708.0,79.0,79.0,79.0,71.0
84,2024.01.02,11360.0,120.0,11490.0,11490.0,11300.0,67328.0,80.0,80.0,80.0,72.0
85,2023.12.28,11480.0,250.0,11300.0,11520.0,11260.0,74942.0,81.0,81.0,81.0,73.0
86,2023.12.27,11230.0,260.0,11400.0,11420.0,11200.0,112792.0,82.0,82.0,82.0,74.0
87,2023.12.26,11490.0,30.0,11510.0,11540.0,11410.0,73293.0,83.0,83.0,83.0,75.0
88,2023.12.22,11460.0,30.0,11430.0,11500.0,11370.0,46406.0,84.0,84.0,84.0,76.0
89,2023.12.21,11430.0,90.0,11490.0,11530.0,11390.0,62036.0,85.0,85.0,85.0,77.0
90,2023.12.20,11520.0,250.0,11290.0,11530.0,11250.0,131234.0,86.0,86.0,86.0,78.0
91,2023.12.19,11270.0,120.0,11160.0,11270.0,11140.0,79055.0,87.0,87.0,87.0,79.0
92,2023.12.18,11150.0,80.0,11230.0,11250.0,11130.0,97938.0,88.0,88.0,88.0,80.0
93,2023.12.15,11230.0,0.0,11220.0,11230.0,11150.0,104373.0,89.0,89.0,89.0,81.0
94,2023.12.14,11230.0,50.0,11280.0,11300.0,11180.0,132850.0,90.0,90.0,90.0,82.0
95,2023.12.13,11280.0,190.0,11070.0,11280.0,10990.0,250910.0,91.0,91.0,91.0,83.0
96,2023.12.12,11090.0,60.0,11140.0,11190.0,11040.0,140882.0,92.0,92.0,92.0,84.0
97,2023.12.11,11150.0,30.0,11190.0,11210.0,11080.0,128544.0,93.0,93.0,93.0,85.0
98,2023.12.08,11180.0,10.0,11190.0,11220.0,11100.0,162270.0,94.0,94.0,94.0,86.0
99,2023.12.07,11190.0,150.0,11370.0,11370.0,11150.0,179134.0,95.0,95.0,95.0,87.0
100,2023.12.06,11340.0,10.0,11310.0,11400.0,11280.0,88372.0,96.0,96.0,96.0,88.0
101,2023.12.05,11330.0,40.0,11370.0,11370.0,11150.0,160549.0,97.0,97.0,97.0,89.0
102,2023.12.04,11370.0,30.0,11400.0,11410.0,11270.0,113119.0,98.0,98.0,98.0,90.0
103,2023.12.01,11400.0,10.0,11400.0,11480.0,11280.0,134915.0,99.0,99.0,99.0,91.0
104,2023.11.30,11390.0,100.0,11420.0,11550.0,11390.0,280680.0,100.0,100.0,100.0,92.0
105,2023.11.29,11490.0,30.0,11500.0,11520.0,11280.0,95343.0,101.0,101.0,101.0,93.0
106,2023.11.28,11460.0,140.0,11600.0,11630.0,11390.0,164931.0,102.0,102.0,102.0,94.0
107,2023.11.27,11600.0,90.0,11700.0,11700.0,11550.0,55101.0,103.0,103.0,103.0,95.0
108,2023.11.24,11690.0,30.0,11720.0,11780.0,11610.0,50973.0,104.0,104.0,104.0,96.0
109,2023.11.23,11720.0,120.0,11830.0,11930.0,11710.0,44580.0,105.0,105.0,105.0,97.0
110,2023.11.22,11840.0,30.0,11860.0,11900.0,11800.0,33605.0,106.0,106.0,106.0,98.0
111,2023.11.21,11870.0,30.0,11800.0,11900.0,11790.0,47914.0,107.0,107.0,107.0,99.0
112,2023.11.20,11840.0,110.0,11950.0,11950.0,11680.0,81755.0,108.0,108.0,108.0,100.0
113,2023.11.17,11950.0,50.0,12000.0,12000.0,11810.0,48866.0,109.0,109.0,109.0,101.0
114,2023.11.16,12000.0,160.0,12190.0,12190.0,11960.0,41904.0,110.0,110.0,110.0,102.0
115,2023.11.15,12160.0,60.0,12280.0,12320.0,12050.0,67662.0,111.0,111.0,111.0,103.0
116,2023.11.14,12100.0,450.0,11660.0,12150.0,11660.0,103297.0,112.0,112.0,112.0,104.0
117,2023.11.13,11650.0,130.0,11700.0,11860.0,11570.0,46946.0,113.0,113.0,113.0,105.0
118,2023.11.10,11780.0,50.0,11720.0,11830.0,11700.0,32405.0,114.0,114.0,114.0,106.0
119,2023.11.09,11830.0,100.0,11770.0,11900.0,11600.0,48476.0,115.0,115.0,115.0,107.0
120,2023.11.08,11730.0,100.0,11610.0,11840.0,11570.0,36679.0,116.0,116.0,116.0,108.0
