,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.1,Unnamed: 0
0,2022.07.13,5070.0,5380.0,8430.0,9680.0,5070.0,61864.0,0.0,0.0
1,2022.07.12,10450.0,1300.0,9100.0,11850.0,9000.0,63274.0,1.0,1.0
2,2022.07.11,9150.0,3350.0,10600.0,12150.0,9100.0,41475.0,2.0,2.0
3,2022.07.08,12500.0,10000.0,17700.0,17700.0,12100.0,55897.0,3.0,3.0
4,2022.07.07,22500.0,7500.0,32700.0,32700.0,22000.0,46677.0,4.0,4.0
5,2022.07.06,30000.0,3200.0,25000.0,34750.0,25000.0,49637.0,5.0,5.0
6,2022.07.05,26800.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
7,2022.07.04,26800.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
8,2022.07.01,26800.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
9,2022.06.30,26800.0,3100.0,29650.0,29650.0,26800.0,23364.0,9.0,9.0
10,2022.06.29,29900.0,2250.0,26050.0,30000.0,25750.0,20866.0,10.0,10.0
11,2022.06.28,27650.0,300.0,27150.0,27650.0,24450.0,19907.0,11.0,11.0
12,2022.06.27,27950.0,1700.0,27650.0,28500.0,27100.0,25007.0,12.0,12.0
13,2022.06.24,29650.0,550.0,27800.0,32450.0,26250.0,33299.0,13.0,13.0
14,2022.06.23,30200.0,6950.0,24950.0,30200.0,23550.0,24687.0,14.0,14.0
15,2022.06.22,23250.0,6500.0,33000.0,33000.0,23250.0,45835.0,15.0,15.0
16,2022.06.21,29750.0,6850.0,28000.0,29750.0,28000.0,11466.0,16.0,16.0
17,2022.06.20,22900.0,3050.0,25600.0,25600.0,22900.0,16994.0,17.0,17.0
18,2022.06.17,25950.0,3050.0,27550.0,27700.0,24650.0,15967.0,18.0,18.0
19,2022.06.16,29000.0,4500.0,29000.0,30100.0,28800.0,23269.0,19.0,19.0
20,2022.06.15,33500.0,1400.0,38500.0,38500.0,31500.0,41526.0,20.0,20.0
21,2022.06.14,32100.0,5750.0,49200.0,49200.0,31700.0,73514.0,21.0,21.0
22,2022.06.13,37850.0,8700.0,37850.0,37850.0,37850.0,5916.0,22.0,22.0
23,2022.06.10,29150.0,6700.0,22450.0,29150.0,22450.0,8792.0,23.0,23.0
24,2022.06.09,22450.0,100.0,21000.0,22450.0,20600.0,8583.0,24.0,24.0
25,2022.06.08,22550.0,2150.0,25000.0,25000.0,22200.0,7894.0,25.0,25.0
26,2022.06.07,24700.0,5200.0,29000.0,29000.0,24600.0,8449.0,26.0,26.0
27,2022.06.03,29900.0,1350.0,31950.0,31950.0,29900.0,2906.0,27.0,27.0
28,2022.06.02,31250.0,750.0,32000.0,32500.0,31150.0,626.0,28.0,28.0
29,2022.05.31,32000.0,1150.0,30500.0,32000.0,30500.0,1498.0,29.0,29.0
30,2022.05.30,30850.0,150.0,31000.0,31050.0,30800.0,431.0,30.0,30.0
31,2022.05.27,31000.0,0.0,32000.0,32000.0,30550.0,371.0,31.0,31.0
32,2022.05.26,31000.0,150.0,31700.0,31700.0,30700.0,514.0,32.0,32.0
33,2022.05.25,31150.0,800.0,32250.0,32250.0,31150.0,266.0,33.0,33.0
34,2022.05.24,31950.0,50.0,31850.0,32400.0,31250.0,427.0,34.0,34.0
35,2022.05.23,31900.0,250.0,31500.0,31900.0,30550.0,477.0,35.0,35.0
36,2022.05.20,32150.0,900.0,31400.0,32300.0,31400.0,355.0,36.0,36.0
37,2022.05.19,31250.0,850.0,32100.0,32100.0,31250.0,631.0,37.0,37.0
38,2022.05.18,32100.0,450.0,32800.0,32800.0,31850.0,697.0,38.0,38.0
39,2022.05.17,32550.0,750.0,32350.0,33500.0,32350.0,767.0,39.0,39.0
40,2022.05.16,33300.0,1300.0,34750.0,34750.0,32800.0,1914.0,40.0,40.0
41,2022.05.13,32000.0,750.0,31950.0,33200.0,31350.0,1358.0,41.0,41.0
42,2022.05.12,31250.0,550.0,31800.0,32000.0,31250.0,644.0,42.0,42.0
43,2022.05.11,31800.0,200.0,31950.0,31950.0,31300.0,665.0,43.0,43.0
44,2022.05.10,32000.0,450.0,31250.0,32450.0,31200.0,326.0,44.0,44.0
45,2022.05.09,32450.0,700.0,33300.0,33300.0,32000.0,635.0,45.0,45.0
46,2022.05.06,33150.0,800.0,33950.0,34000.0,32350.0,798.0,46.0,46.0
47,2022.05.04,33950.0,950.0,35000.0,35000.0,33950.0,880.0,47.0,47.0
48,2022.05.03,34900.0,50.0,34900.0,35150.0,34900.0,23.0,48.0,48.0
49,2022.05.02,34950.0,0.0,36350.0,36350.0,34950.0,104.0,49.0,49.0
50,2022.04.29,34950.0,450.0,34500.0,35000.0,34500.0,296.0,50.0,50.0
51,2022.04.28,34500.0,1050.0,36000.0,36000.0,34400.0,845.0,51.0,51.0
52,2022.04.27,35550.0,550.0,35500.0,35850.0,35500.0,516.0,52.0,52.0
53,2022.04.26,36100.0,100.0,35850.0,36500.0,35850.0,186.0,53.0,53.0
54,2022.04.25,36000.0,800.0,37300.0,37300.0,35750.0,1049.0,54.0,54.0
55,2022.04.22,36800.0,0.0,37800.0,37800.0,36600.0,1032.0,55.0,55.0
56,2022.04.21,36800.0,750.0,37000.0,37300.0,36050.0,694.0,56.0,56.0
57,2022.04.20,36050.0,1350.0,38000.0,38000.0,35500.0,1584.0,57.0,57.0
58,2022.04.19,34700.0,100.0,35000.0,35000.0,34700.0,171.0,58.0,58.0
59,2022.04.18,34600.0,150.0,35350.0,35350.0,34600.0,551.0,59.0,59.0
60,2022.04.15,34750.0,250.0,34900.0,34900.0,34500.0,50.0,60.0,60.0
61,2022.04.14,34500.0,50.0,35750.0,35750.0,34350.0,967.0,61.0,61.0
62,2022.04.13,34550.0,50.0,34500.0,34900.0,34000.0,581.0,62.0,62.0
63,2022.04.12,34500.0,400.0,34900.0,35450.0,34500.0,394.0,63.0,63.0
64,2022.04.11,34100.0,1700.0,36000.0,36400.0,33550.0,633.0,64.0,64.0
65,2022.04.08,35800.0,700.0,35150.0,35900.0,35150.0,394.0,65.0,65.0
66,2022.04.07,35100.0,250.0,35000.0,35600.0,34850.0,1055.0,66.0,66.0
67,2022.04.06,34850.0,0.0,34150.0,34900.0,34150.0,248.0,67.0,67.0
68,2022.04.05,34850.0,200.0,35000.0,35000.0,34500.0,676.0,68.0,68.0
69,2022.04.04,35050.0,400.0,34800.0,35100.0,34650.0,117.0,69.0,69.0
70,2022.04.01,34650.0,50.0,33900.0,34700.0,33900.0,1006.0,70.0,70.0
71,2022.03.31,34700.0,50.0,35200.0,35200.0,34650.0,670.0,71.0,71.0
72,2022.03.30,34650.0,0.0,34800.0,35000.0,34650.0,971.0,72.0,72.0
73,2022.03.29,34650.0,550.0,34000.0,35200.0,33950.0,537.0,73.0,73.0
74,2022.03.28,34100.0,300.0,34000.0,34150.0,33500.0,819.0,74.0,74.0
75,2022.03.25,34400.0,600.0,34700.0,35000.0,34400.0,361.0,75.0,75.0
76,2022.03.24,35000.0,0.0,34800.0,35050.0,34600.0,80.0,76.0,76.0
77,2022.03.23,35000.0,200.0,35400.0,35400.0,34950.0,212.0,77.0,77.0
78,2022.03.22,34800.0,800.0,34500.0,35000.0,34500.0,433.0,78.0,78.0
79,2022.03.21,35600.0,800.0,35750.0,35750.0,35600.0,101.0,79.0,79.0
80,2022.03.18,34800.0,150.0,35000.0,35000.0,34550.0,64.0,80.0,80.0
81,2022.03.17,34950.0,950.0,34950.0,35500.0,34050.0,158.0,81.0,81.0
82,2022.03.16,34000.0,300.0,33800.0,35900.0,33400.0,371.0,82.0,82.0
83,2022.03.15,33700.0,1000.0,34700.0,34700.0,33550.0,133.0,83.0,83.0
84,2022.03.14,34700.0,250.0,34700.0,34950.0,34000.0,428.0,84.0,84.0
85,2022.03.11,34950.0,450.0,35400.0,35400.0,34600.0,540.0,85.0,85.0
86,2022.03.10,34500.0,2000.0,34150.0,35800.0,34150.0,1444.0,86.0,86.0
87,2022.03.08,36500.0,100.0,36600.0,37750.0,36050.0,215.0,87.0,87.0
88,2022.03.07,36600.0,200.0,36000.0,36650.0,35800.0,22.0,88.0,88.0
89,2022.03.04,36800.0,50.0,37500.0,37500.0,35500.0,107.0,89.0,89.0
90,2022.03.03,36850.0,150.0,36250.0,37350.0,36250.0,181.0,90.0,90.0
