,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2023.07.13,6520.0,3680.0,7960.0,8230.0,6420.0,60367.0,0.0,0.0,0.0
1,2023.07.12,10200.0,920.0,11200.0,11200.0,9390.0,66087.0,1.0,1.0,1.0
2,2023.07.11,11120.0,1360.0,13500.0,19200.0,11110.0,128756.0,2.0,2.0,2.0
3,2023.07.10,9760.0,3840.0,13600.0,13600.0,9430.0,52995.0,3.0,3.0,3.0
4,2023.07.07,13600.0,3300.0,13000.0,18300.0,12600.0,100735.0,4.0,4.0,4.0
5,2023.07.06,10300.0,9600.0,14950.0,14950.0,10100.0,68276.0,5.0,5.0,5.0
6,2023.07.05,19900.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0
7,2023.07.04,19900.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0
8,2023.07.03,19900.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0
9,2023.06.30,19900.0,6100.0,26000.0,26000.0,18500.0,35443.0,9.0,9.0,9.0
10,2023.06.29,26000.0,6000.0,23500.0,26000.0,23500.0,13515.0,10.0,10.0,10.0
11,2023.06.28,20000.0,3750.0,23000.0,23000.0,20000.0,9030.0,11.0,11.0,11.0
12,2023.06.27,23750.0,3250.0,26000.0,26000.0,23750.0,6990.0,12.0,12.0,12.0
13,2023.06.26,27000.0,1850.0,29500.0,29500.0,26600.0,5530.0,13.0,13.0,13.0
14,2023.06.23,28850.0,2600.0,30250.0,30250.0,28850.0,5691.0,14.0,14.0,14.0
15,2023.06.22,31450.0,3700.0,33850.0,36850.0,31450.0,7749.0,15.0,15.0,15.0
16,2023.06.21,35150.0,5600.0,29550.0,37500.0,28900.0,7763.0,16.0,16.0,16.0
17,2023.06.20,29550.0,900.0,29900.0,29900.0,29550.0,2616.0,17.0,17.0,17.0
18,2023.06.19,30450.0,150.0,30000.0,30450.0,29000.0,1943.0,18.0,18.0,18.0
19,2023.06.16,30300.0,2000.0,33150.0,33150.0,30050.0,7315.0,19.0,19.0,19.0
20,2023.06.15,32300.0,4700.0,37450.0,37450.0,31400.0,6759.0,20.0,20.0,20.0
21,2023.06.14,37000.0,1650.0,38800.0,38800.0,36950.0,1744.0,21.0,21.0,21.0
22,2023.06.13,38650.0,3150.0,39750.0,39750.0,38650.0,3661.0,22.0,22.0,22.0
23,2023.06.12,41800.0,1400.0,43200.0,43200.0,41800.0,2175.0,23.0,23.0,23.0
24,2023.06.09,43200.0,1500.0,44400.0,44400.0,43000.0,2112.0,24.0,24.0,24.0
25,2023.06.08,44700.0,3200.0,42600.0,44950.0,42600.0,4399.0,25.0,25.0,25.0
26,2023.06.07,47900.0,3500.0,50000.0,50000.0,47900.0,3530.0,26.0,26.0,26.0
27,2023.06.05,51400.0,100.0,51400.0,51900.0,51400.0,324.0,27.0,27.0,27.0
28,2023.06.02,51300.0,500.0,50900.0,51900.0,50900.0,100.0,28.0,28.0,28.0
29,2023.06.01,50800.0,600.0,50700.0,51100.0,50600.0,190.0,29.0,29.0,29.0
30,2023.05.31,51400.0,700.0,50900.0,51500.0,50900.0,309.0,30.0,30.0,30.0
31,2023.05.30,50700.0,600.0,50300.0,51000.0,50300.0,206.0,31.0,31.0,31.0
32,2023.05.26,50100.0,1700.0,51800.0,51900.0,50100.0,770.0,32.0,32.0,32.0
33,2023.05.25,51800.0,1100.0,52900.0,52900.0,51800.0,222.0,33.0,33.0,33.0
34,2023.05.24,52900.0,500.0,51600.0,52900.0,51500.0,158.0,34.0,34.0,34.0
35,2023.05.23,52400.0,1000.0,53300.0,53400.0,52400.0,263.0,35.0,35.0,35.0
36,2023.05.22,53400.0,1900.0,52000.0,54800.0,52000.0,622.0,36.0,36.0,36.0
37,2023.05.19,51500.0,0.0,51000.0,51600.0,51000.0,99.0,37.0,37.0,37.0
38,2023.05.18,51500.0,600.0,51800.0,52000.0,51000.0,411.0,38.0,38.0,38.0
39,2023.05.17,50900.0,500.0,50400.0,50900.0,50400.0,143.0,39.0,39.0,39.0
40,2023.05.16,50400.0,600.0,50800.0,50900.0,50400.0,161.0,40.0,40.0,40.0
41,2023.05.15,51000.0,1300.0,51700.0,51700.0,51000.0,842.0,41.0,41.0,41.0
42,2023.05.12,52300.0,200.0,51500.0,52300.0,51000.0,1525.0,42.0,42.0,42.0
43,2023.05.11,52500.0,400.0,54000.0,54000.0,52500.0,754.0,43.0,43.0,43.0
44,2023.05.10,52900.0,100.0,52500.0,53500.0,52500.0,241.0,44.0,44.0,44.0
45,2023.05.09,53000.0,200.0,53800.0,53800.0,52200.0,896.0,45.0,45.0,45.0
46,2023.05.08,52800.0,900.0,53200.0,53500.0,52200.0,1465.0,46.0,46.0,46.0
47,2023.05.04,53700.0,4800.0,64400.0,64400.0,53100.0,9808.0,47.0,47.0,47.0
48,2023.05.03,58500.0,7600.0,51000.0,60000.0,51000.0,7694.0,48.0,48.0,48.0
49,2023.05.02,50900.0,100.0,50800.0,52000.0,50700.0,210.0,49.0,49.0,49.0
50,2023.04.28,50800.0,1200.0,52200.0,53500.0,50800.0,705.0,50.0,50.0,50.0
51,2023.04.27,52000.0,300.0,52500.0,52500.0,50600.0,571.0,51.0,51.0,51.0
52,2023.04.26,51700.0,0.0,51700.0,53100.0,51100.0,504.0,52.0,52.0,52.0
53,2023.04.25,51700.0,1400.0,52500.0,54200.0,51600.0,588.0,53.0,53.0,53.0
54,2023.04.24,53100.0,500.0,54000.0,55400.0,52300.0,871.0,54.0,54.0,54.0
55,2023.04.21,53600.0,2800.0,56400.0,56400.0,53600.0,1454.0,55.0,55.0,55.0
56,2023.04.20,56400.0,2600.0,57100.0,57500.0,56400.0,1014.0,56.0,56.0,56.0
57,2023.04.19,59000.0,400.0,61800.0,61800.0,59000.0,2794.0,57.0,57.0,57.0
58,2023.04.18,59400.0,3400.0,54800.0,59700.0,54300.0,2691.0,58.0,58.0,58.0
59,2023.04.17,56000.0,800.0,61000.0,61000.0,55800.0,3510.0,59.0,59.0,59.0
60,2023.04.14,56800.0,3700.0,54900.0,62000.0,54000.0,10096.0,60.0,60.0,60.0
61,2023.04.13,53100.0,200.0,52800.0,55000.0,52600.0,1667.0,61.0,61.0,61.0
62,2023.04.12,52900.0,800.0,55300.0,55400.0,52900.0,1739.0,62.0,62.0,62.0
63,2023.04.11,53700.0,5000.0,56300.0,56300.0,53700.0,3069.0,63.0,63.0,63.0
64,2023.04.10,58700.0,2700.0,56000.0,65000.0,55500.0,8417.0,64.0,64.0,64.0
65,2023.04.07,56000.0,6300.0,55000.0,56100.0,54100.0,15665.0,65.0,65.0,65.0
