,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2024.01.19,2040.0,0.0,2040.0,2045.0,2040.0,63082.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024.01.18,2040.0,5.0,2040.0,2050.0,2040.0,81093.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2024.01.17,2045.0,5.0,2035.0,2045.0,2035.0,92109.0,2.0,2.0,2.0,2.0,2.0,2.0
3,2024.01.16,2040.0,5.0,2035.0,2040.0,2035.0,137908.0,3.0,3.0,3.0,3.0,3.0,3.0
4,2024.01.15,2035.0,0.0,2030.0,2040.0,2030.0,265340.0,4.0,4.0,4.0,4.0,4.0,4.0
5,2024.01.12,2035.0,5.0,2035.0,2035.0,2030.0,688892.0,5.0,5.0,5.0,5.0,5.0,5.0
6,2024.01.11,2040.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0
7,2024.01.10,2040.0,0.0,2040.0,2045.0,2040.0,43469.0,7.0,7.0,7.0,7.0,7.0,7.0
8,2024.01.09,2040.0,5.0,2050.0,2050.0,2040.0,35845.0,8.0,8.0,8.0,8.0,8.0,8.0
9,2024.01.08,2045.0,0.0,2045.0,2045.0,2040.0,44398.0,9.0,9.0,9.0,9.0,9.0,9.0
10,2024.01.05,2045.0,5.0,2040.0,2050.0,2035.0,17826.0,10.0,10.0,10.0,10.0,10.0,10.0
11,2024.01.04,2040.0,0.0,2050.0,2050.0,2035.0,79677.0,11.0,11.0,11.0,11.0,11.0,11.0
12,2024.01.03,2040.0,0.0,2040.0,2045.0,2035.0,29750.0,12.0,12.0,12.0,12.0,12.0,12.0
13,2024.01.02,2040.0,10.0,2030.0,2040.0,2030.0,76988.0,13.0,13.0,13.0,13.0,13.0,13.0
14,2023.12.28,2030.0,5.0,2025.0,2030.0,2020.0,72677.0,14.0,14.0,14.0,14.0,14.0,14.0
15,2023.12.27,2025.0,5.0,2030.0,2030.0,2020.0,28045.0,15.0,15.0,15.0,15.0,15.0,15.0
16,2023.12.26,2030.0,5.0,2025.0,2035.0,2025.0,42409.0,16.0,16.0,16.0,16.0,16.0,16.0
17,2023.12.22,2025.0,5.0,2035.0,2035.0,2025.0,82215.0,17.0,17.0,17.0,17.0,17.0,17.0
18,2023.12.21,2030.0,5.0,2035.0,2035.0,2025.0,57825.0,18.0,18.0,18.0,18.0,18.0,18.0
19,2023.12.20,2025.0,5.0,2025.0,2035.0,2020.0,52774.0,19.0,19.0,19.0,19.0,19.0,19.0
20,2023.12.19,2020.0,10.0,2030.0,2030.0,2020.0,64524.0,20.0,20.0,20.0,20.0,20.0,20.0
21,2023.12.18,2030.0,0.0,2030.0,2030.0,2025.0,40449.0,21.0,21.0,21.0,21.0,21.0,21.0
22,2023.12.15,2030.0,5.0,2035.0,2035.0,2025.0,57283.0,22.0,22.0,22.0,22.0,22.0,22.0
23,2023.12.14,2035.0,0.0,2040.0,2040.0,2025.0,134992.0,23.0,23.0,23.0,23.0,23.0,23.0
24,2023.12.13,2035.0,0.0,2040.0,2040.0,2030.0,31647.0,24.0,24.0,24.0,24.0,24.0,24.0
25,2023.12.12,2035.0,5.0,2035.0,2040.0,2020.0,86855.0,25.0,25.0,25.0,25.0,25.0,25.0
26,2023.12.11,2040.0,0.0,2035.0,2050.0,2035.0,57319.0,26.0,26.0,26.0,26.0,26.0,26.0
27,2023.12.08,2040.0,0.0,2040.0,2065.0,2040.0,28385.0,27.0,27.0,27.0,27.0,27.0,27.0
28,2023.12.07,2040.0,0.0,2065.0,2065.0,2035.0,17111.0,28.0,28.0,28.0,28.0,28.0,28.0
29,2023.12.06,2040.0,10.0,2070.0,2070.0,2030.0,21022.0,29.0,29.0,29.0,29.0,29.0,29.0
30,2023.12.05,2030.0,30.0,2050.0,2085.0,2015.0,40881.0,30.0,30.0,30.0,30.0,30.0,30.0
31,2023.12.04,2060.0,195.0,2235.0,2255.0,2050.0,102300.0,31.0,31.0,31.0,31.0,31.0,31.0
32,2023.12.01,2255.0,60.0,2150.0,2290.0,2150.0,84007.0,32.0,32.0,32.0,32.0,32.0,32.0
33,2023.11.30,2195.0,45.0,2175.0,2195.0,2135.0,25354.0,33.0,33.0,33.0,33.0,33.0,33.0
34,2023.11.29,2150.0,20.0,2195.0,2195.0,2125.0,21668.0,34.0,34.0,34.0,34.0,34.0,34.0
35,2023.11.28,2170.0,15.0,2200.0,2200.0,2150.0,10841.0,35.0,35.0,35.0,35.0,35.0,35.0
36,2023.11.27,2185.0,10.0,2150.0,2200.0,2150.0,19179.0,36.0,36.0,36.0,36.0,36.0,36.0
