,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2022.04.18,194.0,110.0,253.0,279.0,194.0,1925863.0,0.0,0.0,0.0
1,2022.04.15,304.0,228.0,450.0,450.0,304.0,2636352.0,1.0,1.0,1.0
2,2022.04.14,532.0,323.0,800.0,800.0,532.0,2268147.0,2.0,2.0,2.0
3,2022.04.13,855.0,143.0,840.0,932.0,800.0,1419352.0,3.0,3.0,3.0
4,2022.04.12,998.0,62.0,954.0,998.0,820.0,1779986.0,4.0,4.0,4.0
5,2022.04.11,1060.0,6300.0,2220.0,2220.0,995.0,2865116.0,5.0,5.0,5.0
6,2022.04.08,7360.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0
7,2022.04.07,7360.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0
8,2022.04.06,7360.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0
9,2022.04.05,7360.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0
10,2022.04.04,7360.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
11,2022.04.01,7360.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0
12,2022.03.31,7360.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0
13,2022.03.30,7360.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0
14,2022.03.29,7360.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0
15,2022.03.28,7360.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0
16,2022.03.25,7360.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0
17,2022.03.24,7360.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0
18,2022.03.23,7360.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0
19,2022.03.22,7360.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0
20,2022.03.21,7360.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0
21,2022.03.18,7360.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0
22,2022.03.17,7360.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0
23,2022.03.16,7360.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0
24,2022.03.15,7360.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0
25,2022.03.14,7360.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
26,2022.03.11,7360.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0
