,corp_code,stock_code,revPER,revPER score,Total Score
카나리아바이오,00164618,016790,0.0008166943839083148,99.93293091884641,99.93293091884641
오텍,00397289,067170,0.0019586195574617434,99.86586183769282,99.86586183769282
세원이앤씨,00585219,091090,0.007281088311486068,99.79879275653923,99.79879275653923
SGA솔루션즈,00988364,184230,0.00808809631289626,99.73172367538565,99.73172367538565
무림페이퍼,00136086,009200,0.009923159304473501,99.66465459423206,99.66465459423206
삼부토건,00125974,001470,0.013357711822116394,99.59758551307847,99.59758551307847
옵트론텍,00327396,082210,0.013821915737409712,99.53051643192488,99.53051643192488
도화엔지니어링,00114552,002150,0.014418333368659183,99.46344735077129,99.46344735077129
CSA 코스믹,00406037,083660,0.0159525759658689,99.3963782696177,99.3963782696177
엔피씨,00108038,004250,0.01595939448003402,99.32930918846412,99.32930918846412
에스엘에너지,00957568,214310,0.01699796178683535,99.26224010731053,99.26224010731053
대유에이텍,00149804,002880,0.01740724934898187,99.19517102615694,99.19517102615694
우리산업홀딩스,00359623,072470,0.017892378633716757,99.12810194500335,99.12810194500335
모헨즈,00163318,006920,0.02338354313266355,99.06103286384976,99.06103286384976
평화산업,00573579,090080,0.024167873192704144,98.99396378269617,98.99396378269617
삼보산업,00125822,009620,0.025038323589490655,98.9268947015426,98.9268947015426
BGF에코머티리얼즈,00599595,126600,0.02804443656260553,98.859825620389,98.859825620389
웹스,00864338,196700,0.031512676985175535,98.79275653923541,98.79275653923541
CBI,00151605,013720,0.03454500128594343,98.72568745808182,98.72568745808182
휴스틸,00156488,005010,0.03696398579312414,98.65861837692823,98.65861837692823
오리엔트정공,00300405,065500,0.03799363432765865,98.59154929577464,98.59154929577464
키네마스터,00535375,139670,0.04024428398273451,98.52448021462106,98.52448021462106
일신방직,00146269,003200,0.04067908555978116,98.45741113346747,98.45741113346747
MDS테크,00445841,086960,0.04216312279046525,98.39034205231388,98.39034205231388
에스디생명공학,01099667,217480,0.04224971906089165,98.32327297116029,98.32327297116029
